,CANDIDATE,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
52405,DR. KOYANI BHARATKUMAR,2009,Gujarat,Junagadh,IND,0.34
52406,CHAND MOHAMAD YUSUF,2009,Gujarat,Junagadh,IND,0.12
52407,PARMAR SAVJIBHAI,2009,Gujarat,Junagadh,IND,0.14
52408,VALA VIRAMBHAI,2009,Gujarat,Junagadh,IND,0.26
52409,SEVRA BACHUBHAI,2009,Gujarat,Junagadh,IND,1.04
52410,HARILAL RANCHHODBHAI,2009,Gujarat,Junagadh,IND,1.77
52411,KACHHADIA NARANBHAI,2009,Gujarat,Amreli,BJP,18.87
52412,NILABEN VIRJIBHAI,2009,Gujarat,Amreli,INC,16.02
52413,D.B.BHAROLA,2009,Gujarat,Amreli,BSP,0.58
52414,MADHUBHAI BHUVA,2009,Gujarat,Amreli,NCP,0.18
52415,KASVALA JAYSUKHABHAI,2009,Gujarat,Amreli,LSWP,0.11
52416,BARAIYA CHANDRAKANT,2009,Gujarat,Amreli,SP,0.53
52417,MAKAVANA SAMATBHAI,2009,Gujarat,Amreli,RKSP,0.09
52418,RAMESH GOHIL,2009,Gujarat,Amreli,MJP,0.61
52419,ASLALIYA CHANDUBHAI,2009,Gujarat,Amreli,IND,0.21
52420,KHOKHAR GULMAHMAD,2009,Gujarat,Amreli,IND,0.08
52421,GOHIL RAMBHAI JINABHAI,2009,Gujarat,Amreli,IND,0.13
52422,NILABEN THUMAR,2009,Gujarat,Amreli,IND,0.14
52423,RAMESHBHAI JASHABHAI,2009,Gujarat,Amreli,IND,0.15
52424,VALJIBHAI LALUBHAI,2009,Gujarat,Amreli,IND,0.35
52425,SANGANI RAMESHBHAI,2009,Gujarat,Amreli,IND,0.76
52426,SUKHADIYA NATHALAL V.,2009,Gujarat,Amreli,IND,1.15
52427,GOHILMAHAVIRSINHBHAGIR,2009,Gujarat,Bhavnagar,INC,15.02
52428,RAJENDRASINH,2009,Gujarat,Bhavnagar,BJP,15.44
52429,VALJIBHAI B. BORICHA,2009,Gujarat,Bhavnagar,BSP,0.28
52430,ATUL HARSHADRAY,2009,Gujarat,Bhavnagar,BNJD,0.14
52431,GOHIL NANAJIBHAI,2009,Gujarat,Bhavnagar,RPI(A),0.25
52432,ZADAFIA GORDHANBHAI,2009,Gujarat,Bhavnagar,MJP,11.33
52433,DABHI DEVJIBHAI,2009,Gujarat,Bhavnagar,SJP(R),0.13
52434,YADAV(KOLI) TULSHIBHAI,2009,Gujarat,Bhavnagar,SP,0.17
52435,SAPARIYA DINESH,2009,Gujarat,Bhavnagar,LPSP,0.08
52436,KATARIYA JINABHAI,2009,Gujarat,Bhavnagar,IND,0.15
52437,CHUDASAMA MEPABHAI,2009,Gujarat,Bhavnagar,IND,0.17
52438,CHOUHAN DHIRUBHAI,2009,Gujarat,Bhavnagar,IND,0.24
52439,NARESHBHAI NANJIBHAI,2009,Gujarat,Bhavnagar,IND,0.18
52440,PUNANI MUKESHBHI,2009,Gujarat,Bhavnagar,IND,0.21
52441,M.I.SOLANKI,2009,Gujarat,Bhavnagar,IND,0.43
52442,HARIN RAMNIKLAL,2009,Gujarat,Bhavnagar,IND,0.89
52443,PATEL DIPAKBHAI,2009,Gujarat,Anand,BJP,20.14
52444,PARMAR BABUBHAI,2009,Gujarat,Anand,NCP,0.45
52445,SOLANKI BHARATBHAI,2009,Gujarat,Anand,INC,24.95
52446,PARMAR HITENDRASINH,2009,Gujarat,Anand,SP,0.32
52447,RATHOD HIMMATBHAI,2009,Gujarat,Anand,IJP,0.07
52448,SAMIRBHAI GIRISHBHAI,2009,Gujarat,Anand,SVPP,0.06
52449,CHAVDA KAUSHIKKMAR,2009,Gujarat,Anand,IND,0.08
52450,DAVE AMRISHBHAI VADILAL,2009,Gujarat,Anand,IND,0.06
52451,PATEL JAYESHBHAI,2009,Gujarat,Anand,IND,0.08
52452,BHARATBHAI VINUBHAI,2009,Gujarat,Anand,IND,0.08
52453,MALEK GULAMMAHMMAD,2009,Gujarat,Anand,IND,0.07
52454,LALJIBHAI GANESHJI,2009,Gujarat,Anand,IND,0.16
52455,LEELABEN RAVJIBHAI,2009,Gujarat,Anand,IND,0.39
52456,SAIYAD MAHEBUBALI,2009,Gujarat,Anand,IND,0.29
52457,SOLANKI BHARAT BABUBHAI,2009,Gujarat,Anand,IND,1.2
52458,CHAUHAN DEVUSINH,2009,Gujarat,Kheda,BJP,19.55
52459,CHAUHAN RATANSINH,2009,Gujarat,Kheda,BSP,0.45
52460,DINSHA PATEL,2009,Gujarat,Kheda,INC,19.61
52461,DODIYA HEMALSINH,2009,Gujarat,Kheda,MJP,0.44
52462,ALPESHSINH SURUBHA,2009,Gujarat,Kheda,IND,0.12
52463,CHRISTI VASANTBHAI,2009,Gujarat,Kheda,IND,0.1
52464,KHALIFA ZAKIRHUSEN,2009,Gujarat,Kheda,IND,0.17
52465,PATEL BHARATKUMAR,2009,Gujarat,Kheda,IND,0.22
52466,SHEKH TAUFIKHUSEN,2009,Gujarat,Kheda,IND,0.96
52467,CHAUHAN PRABHATSINH,2009,Gujarat,Panchmahal,BJP,19.82
52468,BAROT PRAKASHKUMAR,2009,Gujarat,Panchmahal,BSP,0.75
52469,VAGHELA SHANKARSINH,2009,Gujarat,Panchmahal,INC,19.67
52470,MANSURI MUKHTYAR,2009,Gujarat,Panchmahal,ABMSD,0.73
52471,SHAIKH KALIM A.LATIF,2009,Gujarat,Panchmahal,LJP,1.66
52472,KATARA SINGJIBHAI,2009,Gujarat,Dahod,CPM,2.47
52473,KALARA RAMSINGBHAI,2009,Gujarat,Dahod,BSP,0.79
52474,DAMOR SOMJIBHAI,2009,Gujarat,Dahod,BJP,16.07
52475,DR. PRABHA KISHOR,2009,Gujarat,Dahod,INC,20.97
52476,MEDA KALSINHBHAI,2009,Gujarat,Dahod,NCP,1.26
52477,PARMAR DINESHBHAI,2009,Gujarat,Dahod,IJP,0.68
52478,K.C.MUNIA ADVOCATE,2009,Gujarat,Dahod,SP,2.49
52479,GAEKWAD SATYAJITSINH,2009,Gujarat,Vadodara,INC,19.21
52480,PUROHIT VINAYKUMAR,2009,Gujarat,Vadodara,BSP,0.4
52481,BALKRISHNA KHANDERAO,2009,Gujarat,Vadodara,BJP,28.14
52482,GIRISHBHAI MADHAVLAL,2009,Gujarat,Vadodara,IND,0.27
52483,THAVARDAS AMULRAI,2009,Gujarat,Vadodara,IND,0.16
52484,TAPAN DASGUPTA,2009,Gujarat,Vadodara,IND,0.19
52485,VASAVA HARILAL,2009,Gujarat,Vadodara,IND,0.65
52486,BHIL PRAKASHBHAI,2009,Gujarat,Chhota Udaipur,BSP,3.11
52487,RATHWA NARANBHAI,2009,Gujarat,Chhota Udaipur,INC,23.12
52488,RATHWA RAMSINGBHAI,2009,Gujarat,Chhota Udaipur,BJP,25.03
52489,VASAVA(BHIL) VITTHALBHAI,2009,Gujarat,Chhota Udaipur,IND,2.92
52490,UMERJI AHMED,2009,Gujarat,Bharuch,INC,21.64
52491,PANDEY SANATKUMAR,2009,Gujarat,Bharuch,BSP,0.47
52492,BALVANTSINH VIJAYSINH,2009,Gujarat,Bharuch,NCP,0.35
52493,MANSUKHBHAI DHANJIBHAI,2009,Gujarat,Bharuch,BJP,23.71
52494,KANAKSINH MANGROLA,2009,Gujarat,Bharuch,SP,1.26
52495,NARENDRASINH,2009,Gujarat,Bharuch,LSWP,0.15
52496,PATEL NARESHKUMAR,2009,Gujarat,Bharuch,MJP,0.32
52497,PATEL MEHRUNNISHA VALLI,2009,Gujarat,Bharuch,LJP,0.19
52498,VASAVA CHHOTUBHAI,2009,Gujarat,Bharuch,JD(U),4.85
52499,SURESHBHAI,2009,Gujarat,Bharuch,ABJS,0.27
52500,GOHIL HEMANTKUMAR,2009,Gujarat,Bharuch,IND,0.23
52501,DILIPKUMAR GULSINGBHAI,2009,Gujarat,Bharuch,IND,0.41
52502,PATEL THAKORBHAI,2009,Gujarat,Bharuch,IND,0.59
52503,LAKDAWALA SHAKIL,2009,Gujarat,Bharuch,IND,0.57
52504,LAD MAHIPATBHAI,2009,Gujarat,Bharuch,IND,2.14
52505,GAMIT RANJANBEN,2009,Gujarat,Bardoli,BSP,1.14
52506,CHAUDHARI TUSHARBHAI,2009,Gujarat,Bardoli,INC,27.66
52507,PATEL SONABEN,2009,Gujarat,Bardoli,CPI,1.06
52508,VASAVA RITESHKUMAR,2009,Gujarat,Bardoli,BJP,23.57
52509,CHAUDHARI KAMLESHBHAI,2009,Gujarat,Bardoli,JD(U),0.57
52510,PATEL VIJAYKUMAR,2009,Gujarat,Bardoli,MJP,0.22
52511,RATHOD PRAVINBHAI,2009,Gujarat,Bardoli,SP,0.16
52512,ARJUNBHAI BHALJIBHAI,2009,Gujarat,Bardoli,IND,0.17
52513,GAMIT THAKORBHAI,2009,Gujarat,Bardoli,IND,0.35
52514,GAMIT SUMANBHAI,2009,Gujarat,Bardoli,IND,0.33
52515,RATHOD SUKABHAI,2009,Gujarat,Bardoli,IND,0.74
52516,VASAVA PRAVINSINH,2009,Gujarat,Bardoli,IND,1.82
52517,AJAYKUMAR DINESHBHAI,2009,Gujarat,Surat,BSP,0.34
52518,GAJERA DHIRUBHAI,2009,Gujarat,Surat,INC,20.42
52519,SHRIMATI DARSHANA,2009,Gujarat,Surat,BJP,25.68
52520,PATEL KANUBHAI HARIBHAI,2009,Gujarat,Surat,LSWP,0.17
52521,PRAJAPATI MUKESHBHAI,2009,Gujarat,Surat,LPSP,0.29
52522,FAKIRBHAI CHAUHAN,2009,Gujarat,Surat,MJP,1.09
52523,BATHVAR NARESHBHAI,2009,Gujarat,Surat,RPI(A),0.04
52524,SHASHIKANT KAPURE,2009,Gujarat,Surat,RPIE,0.05
52525,SURESHBHAI,2009,Gujarat,Surat,RKSP,0.04
52526,NAGMAL PRABHAKARBHAI,2009,Gujarat,Surat,IND,0.04
52527,PATEL SAVITABEN,2009,Gujarat,Surat,IND,0.1
52528,PYARELAL BHARTI,2009,Gujarat,Surat,IND,0.05
52529,PROF. BAJPAI RAKESH R.,2009,Gujarat,Surat,IND,0.13
52530,MAKVANA ANANDBHAI,2009,Gujarat,Surat,IND,0.18
52531,MOHAMMAD AIYUB ABDUL,2009,Gujarat,Surat,IND,0.33
52532,DHANSUKH RAJPUT,2009,Gujarat,Navsari,INC,17.91
52533,NAIK YOGESHKUMAR,2009,Gujarat,Navsari,NCP,0.43
52534,C. R. PATIL,2009,Gujarat,Navsari,BJP,26.08
52535,SHAILESHBHAI BISHESWAR,2009,Gujarat,Navsari,BSP,0.45
52536,AAZADKUMAR CHATURBHAI,2009,Gujarat,Navsari,SVPP,0.09
52537,YADAV GANGAPRASAD,2009,Gujarat,Navsari,MJP,0.17
52538,KANUBHAI DEVJIBHAI,2009,Gujarat,Navsari,IND,0.08
52539,JASHAVANTBHAI,2009,Gujarat,Navsari,IND,0.06
52540,TARUNBHAI CHAMPAKBHAI,2009,Gujarat,Navsari,IND,0.07
52541,PATEL PRAVINCHANDRA,2009,Gujarat,Navsari,IND,0.09
52542,RATHOD GOVINDBHAI,2009,Gujarat,Navsari,IND,0.09
52543,VARANKAR KAMALBEN,2009,Gujarat,Navsari,IND,0.2
52544,SHATRUDHANDAS,2009,Gujarat,Navsari,IND,0.15
52545,SATYAJIT JAYANTILAL,2009,Gujarat,Navsari,IND,0.79
52546,KISHANBHAI VESTABHAI,2009,Gujarat,Valsad,INC,25.92
52547,GAVLI CHHAGANBHAI,2009,Gujarat,Valsad,BSP,1.11
52548,PATEL DHIRUBHAI,2009,Gujarat,Valsad,BJP,25.4
52549,PANKAJKUMAR,2009,Gujarat,Valsad,ADSP,0.72
52550,BHOYE NAYNESHBHAI,2009,Gujarat,Valsad,SP,0.49
52551,VARALI LAXMANBHAI,2009,Gujarat,Valsad,CPI(ML),0.49
52552,PATEL RAMBHAI KOYABHAI,2009,Gujarat,Valsad,IND,1.99
52553,CHANDER PAL,2009,Haryana,Ambala,BSP,14.91
52554,RATTAN LAL KATARIA,2009,Haryana,Ambala,BJP,24.32
52555,SELJA,2009,Haryana,Ambala,INC,25.48
52556,DALVIR SINGH,2009,Haryana,Ambala,HJCBL,2.43
52557,HEM RAJ,2009,Haryana,Ambala,LJP,0.36
52558,AMAR SINGH,2009,Haryana,Ambala,IND,0.3
52559,NARINDER KUMAR,2009,Haryana,Ambala,IND,0.71
52560,ASHOK KUMAR ARORA,2009,Haryana,Kurukshetra,INLD,23.87
52561,GURDYAL SINGH SAINI,2009,Haryana,Kurukshetra,BSP,12.96
52562,NAVEEN JINDAL,2009,Haryana,Kurukshetra,INC,34.05
52563,JASWANT SINGH CHEEMA,2009,Haryana,Kurukshetra,HJCBL,1.44
52564,PARDHAN CHAND CHAUHAN,2009,Haryana,Kurukshetra,SP,0.21
52565,DR. ASHWINI SHARMA,2009,Haryana,Kurukshetra,IND,0.1
52566,ATAM PARKASH,2009,Haryana,Kurukshetra,IND,0.08
52567,TARSEM LAL,2009,Haryana,Kurukshetra,IND,0.05
52568,YASH PAL,2009,Haryana,Kurukshetra,IND,0.05
52569,RAN SINGH,2009,Haryana,Kurukshetra,IND,0.13
52570,VIRENDER SINGH,2009,Haryana,Kurukshetra,IND,0.18
52571,VISHNU BHAGWAN,2009,Haryana,Kurukshetra,IND,0.6
52572,SUNEETA DHARIWAL,2009,Haryana,Kurukshetra,IND,0.61
52573,SUBHASH MAHENDRA,2009,Haryana,Kurukshetra,IND,0.7
52574,ASHOK TANWAR,2009,Haryana,Sirsa,INC,31.74
52575,RAJESH KUMAR,2009,Haryana,Sirsa,BSP,5.8
52576,COMRADE RAM KUMAR,2009,Haryana,Sirsa,CPM,1.45
52577,DR. SITA RAM,2009,Haryana,Sirsa,INLD,29.03
52578,RAJ KUMAR NAGAR,2009,Haryana,Sirsa,JKNPP,0.64
52579,RAJENDRA PRASAD,2009,Haryana,Sirsa,HJCBL,3.49
52580,SWARN SINGH,2009,Haryana,Sirsa,RASJP,0.27
52581,HANS RAJ,2009,Haryana,Sirsa,RPI,0.09
52582,JAIBIR SINGH,2009,Haryana,Sirsa,IND,0.08
52583,DESRAJ,2009,Haryana,Sirsa,IND,0.34
52584,NARENDER PAL,2009,Haryana,Sirsa,IND,0.13
52585,PAWAN KUMAR,2009,Haryana,Sirsa,IND,0.26
52586,PUSHPA RANI,2009,Haryana,Sirsa,IND,0.23
52587,VAZIR SINGH,2009,Haryana,Sirsa,IND,0.25
52588,SHANKER LAL,2009,Haryana,Sirsa,IND,1.12
52589,JAI PARKASH,2009,Haryana,Hisar,INC,17.12
52590,RAM DAYAL GOYAL,2009,Haryana,Hisar,BSP,7.56
52591,SAMPAT SINGH,2009,Haryana,Hisar,INLD,20.21
52592,KARAN SINGH,2009,Haryana,Hisar,BRPP,0.13
52593,KRISHAN KUMAR S/O,2009,Haryana,Hisar,RASJP,0.1
52594,GULAB SINGH,2009,Haryana,Hisar,NELU,0.05
52595,JANG BAHADUR,2009,Haryana,Hisar,BHBP,0.17
52596,BHAJAN LAL S/O KHERAJ,2009,Haryana,Hisar,HJCBL,20.8
52597,ROSHAN LAL,2009,Haryana,Hisar,IJP,0.53
52598,SATPAL,2009,Haryana,Hisar,SMBHP,0.39
52599,SATPAL SINGH,2009,Haryana,Hisar,LJP,0.08
52600,ANUP,2009,Haryana,Hisar,IND,0.07
52601,MEHTA ANOOP KUMAR,2009,Haryana,Hisar,IND,0.05
52602,AZAD SINGH,2009,Haryana,Hisar,IND,0.11
52603,UMRAV SINGH,2009,Haryana,Hisar,IND,0.08
52604,KULDEEP SINGH,2009,Haryana,Hisar,IND,0.27
52605,KULWANT SINGH,2009,Haryana,Hisar,IND,0.21
52606,ARYA KRISHAN,2009,Haryana,Hisar,IND,0.12
52607,KRISHAN KUMAR S/O GOPI,2009,Haryana,Hisar,IND,0.06
52608,CHHOTU RAM S/O KIRTA,2009,Haryana,Hisar,IND,0.03
52609,CHHOTU RAM S/O LADHU,2009,Haryana,Hisar,IND,0.03
52610,JAGDISH CHANDER ASIJA,2009,Haryana,Hisar,IND,0.04
52611,JAG RAM,2009,Haryana,Hisar,IND,0.06
52612,JOGENDER KUMAR,2009,Haryana,Hisar,IND,0.07
52613,DEVI LAL,2009,Haryana,Hisar,IND,0.1
52614,DEVENDER,2009,Haryana,Hisar,IND,0.03
52615,NAND KISHOR,2009,Haryana,Hisar,IND,0.05
52616,PARVESH,2009,Haryana,Hisar,IND,0.06
52617,BHAJAN LAL S/O,2009,Haryana,Hisar,IND,0.1
52618,BHATERI,2009,Haryana,Hisar,IND,0.1
52619,MANU DIGVIJAY SINGH,2009,Haryana,Hisar,IND,0.16
52620,RAJ KUMAR,2009,Haryana,Hisar,IND,0.16
52621,RAJENDER,2009,Haryana,Hisar,IND,0.1
52622,ROHTAS,2009,Haryana,Hisar,IND,0.03
52623,SHAMSHER,2009,Haryana,Hisar,IND,0.02
52624,SHARVAN KUMAR,2009,Haryana,Hisar,IND,0.02
52625,SANJAY KUMAR,2009,Haryana,Hisar,IND,0.02
52626,SANDEEP,2009,Haryana,Hisar,IND,0.05
52627,ARVIND KUMAR SHARMA,2009,Haryana,Karnal,INC,25.04
52628,MAM CHAND,2009,Haryana,Karnal,CPI,1.12
52629,MARATHA VIRENDER,2009,Haryana,Karnal,BSP,18.76
52630,I.D.SWAMI,2009,Haryana,Karnal,BJP,15.24
52631,KALPANA SINGH,2009,Haryana,Karnal,RPI(A),0.13
52632,PREM KUMAR,2009,Haryana,Karnal,SHS,0.08
52633,MANOJ KUMAR KASHYAP,2009,Haryana,Karnal,VAJP,0.09
52634,DR. RAMESH CHHABRA,2009,Haryana,Karnal,HJCBL,4.04
52635,RAJIV AHUJA,2009,Haryana,Karnal,SP,0.08
52636,RAM PAL,2009,Haryana,Karnal,RASAP,0.08
52637,HAWA SINGH,2009,Haryana,Karnal,RASJP,0.08
52638,ANOOP SINGH,2009,Haryana,Karnal,IND,0.29
52639,ASHOK KUMAR,2009,Haryana,Karnal,IND,0.12
52640,DUSHYANT KUMAR,2009,Haryana,Karnal,IND,0.11
52641,NARENDER SAROHA,2009,Haryana,Karnal,IND,0.09
52642,BALWAN SINGH RUHAL,2009,Haryana,Karnal,IND,0.27
52643,MUKESH KUMARI,2009,Haryana,Karnal,IND,0.28
52644,RAMESH SINGLA,2009,Haryana,Karnal,IND,0.13
52645,LAL SINGH KASHYAP,2009,Haryana,Karnal,IND,0.17
52646,SHIV PARSAD,2009,Haryana,Karnal,IND,0.14
52647,SANJEEV,2009,Haryana,Karnal,IND,0.04
52648,ARYA SUSHIL GARG,2009,Haryana,Karnal,IND,0.17
52649,SUSHIL GURJAR SIRSI,2009,Haryana,Karnal,IND,0.11
52650,KISHAN SINGH SANGWAN,2009,Haryana,Sonipat,BJP,16.14
52651,JITENDER SINGH,2009,Haryana,Sonipat,INC,30.8
52652,DEVRAJ DIWAN,2009,Haryana,Sonipat,BSP,10.26
52653,SUKHBIR SINGH,2009,Haryana,Sonipat,NCP,1.16
52654,PT. UMESH SHARMA,2009,Haryana,Sonipat,HJCBL,3.85
52655,OM PARKASH MEHTA,2009,Haryana,Sonipat,BHC,0.1
52656,KRISHAN KUMAR,2009,Haryana,Sonipat,LJP,0.05
52657,GEJENDER,2009,Haryana,Sonipat,KKJHS,0.04
52658,JYOTI PARKASH,2009,Haryana,Sonipat,SP,0.1
52659,MADANGOPAL,2009,Haryana,Sonipat,RDMP,0.05
52660,RAJ PAL,2009,Haryana,Sonipat,CPI(ML),0.12
52661,RAJENDER SINGH,2009,Haryana,Sonipat,UWF,0.23
52662,ROHTASH REDHU,2009,Haryana,Sonipat,SMBHP,0.12
52663,SUSHILA,2009,Haryana,Sonipat,JCP,0.27
52664,DALBIR SINGH,2009,Haryana,Sonipat,IND,0.19
52665,SANT DHARAMVIR,2009,Haryana,Sonipat,IND,0.23
52666,BALWAN KASHYAP,2009,Haryana,Sonipat,IND,0.23
52667,BIJENDER KUMAR,2009,Haryana,Sonipat,IND,0.18
52668,RAJESH KHAN MACHHRI,2009,Haryana,Sonipat,IND,0.13
52669,DR. VEERENDER ARYAVRAT,2009,Haryana,Sonipat,IND,0.19
52670,SHIV NARAYAN,2009,Haryana,Sonipat,IND,0.3
52671,DEEPENDER SINGH,2009,Haryana,Rohtak,INC,45.88
52672,NAFE SINGH RATHEE,2009,Haryana,Rohtak,INLD,10.92
52673,RAJ KUMAR,2009,Haryana,Rohtak,BSP,5.35
52674,KRISHAN MURTI,2009,Haryana,Rohtak,HJCBL,1.61
52675,RAJBIR,2009,Haryana,Rohtak,IJP,0.06
52676,SUDESH,2009,Haryana,Rohtak,RPI(A),0.05
52677,SUDESH KUMAR,2009,Haryana,Rohtak,SMBHP,0.17
52678,ANUP SINGH MATANHEL,2009,Haryana,Rohtak,IND,0.12
52679,ASHOK,2009,Haryana,Rohtak,IND,0.09
52680,ASHA NAND,2009,Haryana,Rohtak,IND,0.17
52681,KARAN SINGH,2009,Haryana,Rohtak,IND,0.03
52682,GORAV,2009,Haryana,Rohtak,IND,0.03
52683,JASMER,2009,Haryana,Rohtak,IND,0.07
52684,JASVIR ARYA,2009,Haryana,Rohtak,IND,0.29
52685,RISHAL SINGH,2009,Haryana,Rohtak,IND,0.19
52686,SATYAWAN RANGA,2009,Haryana,Rohtak,IND,0.54
52687,AJAY SINGH CHAUTALA,2009,Haryana,Bhiwani Mahendragarh,INLD,20.39
52688,ANIL KAUSHIK,2009,Haryana,Bhiwani Mahendragarh,NCP,0.8
52689,VIKRAM SINGH,2009,Haryana,Bhiwani Mahendragarh,BSP,5.07
52690,SHRUTI CHOUDHRY,2009,Haryana,Bhiwani Mahendragarh,INC,24.97
52691,JAI SINGH,2009,Haryana,Bhiwani Mahendragarh,IJP,0.23
52692,NARENDER SINGH,2009,Haryana,Bhiwani Mahendragarh,HJCBL,17.66
52693,NEELKANWAL @ NEELAM,2009,Haryana,Bhiwani Mahendragarh,SMBHP,0.27
52694,MAHENDER SINGH,2009,Haryana,Bhiwani Mahendragarh,BHBP,0.07
52695,VED PRAKASH,2009,Haryana,Bhiwani Mahendragarh,NSSP,0.05
52696,SAROJ YADAV,2009,Haryana,Bhiwani Mahendragarh,SP,0.15
52697,HANSRAJ,2009,Haryana,Bhiwani Mahendragarh,RPI(A),0.07
52698,AJAY SINGH,2009,Haryana,Bhiwani Mahendragarh,IND,0.05
52699,ABHEY SINGH,2009,Haryana,Bhiwani Mahendragarh,IND,0.08
52700,JAIMAL SINGH,2009,Haryana,Bhiwani Mahendragarh,IND,0.05
52701,DHARMENDER SINGH,2009,Haryana,Bhiwani Mahendragarh,IND,0.07
52702,DR. PURAN MAL SHARMA,2009,Haryana,Bhiwani Mahendragarh,IND,0.23
52703,PYARELAL,2009,Haryana,Bhiwani Mahendragarh,IND,0.28
52704,BIRENDER SINGH,2009,Haryana,Bhiwani Mahendragarh,IND,0.04
52705,MANMOHAN SINGH,2009,Haryana,Bhiwani Mahendragarh,IND,0.05
52706,ENGINEER MAHABIR SINGH,2009,Haryana,Bhiwani Mahendragarh,IND,0.1
52707,RAJ KUMAR,2009,Haryana,Bhiwani Mahendragarh,IND,0.05
52708,RAJESH KUMAR S/O BRIJ,2009,Haryana,Bhiwani Mahendragarh,IND,0.08
52709,RAJESH KUMAR S/O HAWA,2009,Haryana,Bhiwani Mahendragarh,IND,0.03
52710,LAXMI NARAYAN ASIJA,2009,Haryana,Bhiwani Mahendragarh,IND,0.12
52711,VINOD KUMAR,2009,Haryana,Bhiwani Mahendragarh,IND,0.04
52712,SHRICHAND,2009,Haryana,Bhiwani Mahendragarh,IND,0.04
52713,SURENDER,2009,Haryana,Bhiwani Mahendragarh,IND,0.04
52714,SURESH KUMAR,2009,Haryana,Bhiwani Mahendragarh,IND,0.11
52715,HARISH KUMAR,2009,Haryana,Bhiwani Mahendragarh,IND,0.09
52716,INDERJIT SINGH,2009,Haryana,Gurgaon,INC,22.38
52717,ZAKIR HUSSAIN,2009,Haryana,Gurgaon,BSP,15.56
52718,DINESH CHANDER YADAV,2009,Haryana,Gurgaon,NCP,0.2
52719,SUDHA,2009,Haryana,Gurgaon,BJP,10.11
52720,ISHPAL SINGH TOMER,2009,Haryana,Gurgaon,RDMP,0.17
52721,NARVIR SINGH,2009,Haryana,Gurgaon,HJCBL,9.42
52722,PRABHU LAL BATRA,2009,Haryana,Gurgaon,RASAP,0.15
52723,BUDH RAM,2009,Haryana,Gurgaon,JKM,0.14
52724,YASHPAL,2009,Haryana,Gurgaon,LJP,0.95
52725,RAMESH KUMAR,2009,Haryana,Gurgaon,JKNPP,0.08
52726,SATEESH KUMAR SINGH,2009,Haryana,Gurgaon,SMBHP,0.17
52727,SUNIL YADAV,2009,Haryana,Gurgaon,SP,0.09
52728,AMAR MOHMMAD,2009,Haryana,Gurgaon,IND,0.06
52729,KUSHESHWAR BHAGAT,2009,Haryana,Gurgaon,IND,0.08
52730,JAGAN,2009,Haryana,Gurgaon,IND,0.09
52731,NAZIR AHMED,2009,Haryana,Gurgaon,IND,0.2
52732,NARESH YADAV,2009,Haryana,Gurgaon,IND,0.22
52733,NAVEEN,2009,Haryana,Gurgaon,IND,0.07
52734,BALWANT SINGH,2009,Haryana,Gurgaon,IND,0.03
52735,BIMLA DEVI,2009,Haryana,Gurgaon,IND,0.15
52736,MANBIR SINGH,2009,Haryana,Gurgaon,IND,0.11
52737,RAKESH,2009,Haryana,Gurgaon,IND,0.05
52738,SATBEER SINGH KUNDU,2009,Haryana,Gurgaon,IND,0.16
52739,SATINDER SINGH THAKRAN,2009,Haryana,Gurgaon,IND,0.11
52740,AVTAR SINGH BHADANA,2009,Haryana,Faridabad,INC,23.38
52741,CHETAN SHARMA,2009,Haryana,Faridabad,BSP,10.29
52742,RAMCHANDER BAINDA,2009,Haryana,Faridabad,BJP,17.19
52743,GAJENDER PRATAP,2009,Haryana,Faridabad,AIFB(S),0.25
52744,CHANDER BHATIA,2009,Haryana,Faridabad,HJCBL,2.83
52745,DEVINDER,2009,Haryana,Faridabad,JJJKMC,0.1
52746,NISAR AHMED,2009,Haryana,Faridabad,RND,0.23
52747,BABU LAL,2009,Haryana,Faridabad,JUP,0.05
52748,MUKESH KUMAR JOSHI,2009,Haryana,Faridabad,AIRP,0.06
52749,REKHA SINGH,2009,Haryana,Faridabad,SMBHP,0.08
52750,LATA RANI,2009,Haryana,Faridabad,SP,0.09
52751,SUBHASH,2009,Haryana,Faridabad,RWS,0.21
52752,SURAJ BHAN,2009,Haryana,Faridabad,RJAP,0.09
52753,AVTAR SINGH,2009,Haryana,Faridabad,IND,0.11
52754,TEEKA RAM HOODA,2009,Haryana,Faridabad,IND,0.12
52755,BRIJ BHUSHAN,2009,Haryana,Faridabad,IND,0.22
52756,YASH PAL NAGAR,2009,Haryana,Faridabad,IND,0.78
52757,SAMSUDDIN,2009,Haryana,Faridabad,IND,0.13
52758,SAHI RAM RAWAT,2009,Haryana,Faridabad,IND,0.22
52759,DR K P SINGH,2009,Haryana,Faridabad,IND,0.04
52760,SUKHBIR SINGH,2009,Haryana,Faridabad,IND,0.04
52761,SUNDER SINGH,2009,Haryana,Faridabad,IND,0.05
52762,HARSH BHATIA,2009,Haryana,Faridabad,IND,0.11
52763,CHANDER KUMAR,2009,Himachal Pradesh,Kangra,INC,25.12
52764,COL.NARINDER SINGH,2009,Himachal Pradesh,Kangra,BSP,1.06
52765,DR. RAJAN SUSHANT,2009,Himachal Pradesh,Kangra,BJP,26.85
52766,KESHAB,2009,Himachal Pradesh,Kangra,LJP,0.64
52767,JOGINDER SINGH,2009,Himachal Pradesh,Kangra,SHS,0.11
52768,NIRMLA SHARMA,2009,Himachal Pradesh,Kangra,RWS,0.11
